Control,Experimental
-1.549069644,0.392238171
-1.530994152,-0.24040404
-2.270281765,-0.403083466
-1.221903243,-0.254864434
-1.765975545,0.007230197
-1.800318979,0.280170122
-0.979691653,0.26390218
-2.411270601,-0.988729399
0.245826688,0.068686869
-2.158213716,-0.157256778
-1.538224349,-2.235938331
-1.818394471,-0.050611377
-0.813397129,-0.24040404
-1.453269537,0.059649123
-2.178096757,0.26390218
-1.784051037,-0.359702286
-0.815204678,-0.182562467
-0.124720893,-0.093992557
-1.319510898,-0.164486975
1.290590112,-0.150026582
-1.033918129,-0.06687932
-1.122488038,0.182562467
-1.232748538,0.113875598
-1.297820308,0.21871345
-1.563530037,0.093992557
-0.806166932,-0.063264221
,-0.034343434
